GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population
0100000US,,United States,1600000US0973000,0973000,United States - Connecticut - Stamford city,Stamford city,122643
0100000US,,United States,0600000US0900173070,0900173070,"United States - Connecticut - Stamford town, Fairfield County","Stamford town, Fairfield County",122643
0100000US,,United States,0600000US0900174190,0900174190,"United States - Connecticut - Stratford town, Fairfield County","Stratford town, Fairfield County",51384
0100000US,,United States,1600000US0974260,0974260,United States - Connecticut - Stratford CDP,Stratford CDP,51384
0100000US,,United States,1600000US0980000,0980000,United States - Connecticut - Waterbury city,Waterbury city,110366
0100000US,,United States,0600000US0900980070,0900980070,"United States - Connecticut - Waterbury town, New Haven County","Waterbury town, New Haven County",110366
0100000US,,United States,0600000US0900382590,0900382590,"United States - Connecticut - West Hartford town, Hartford County","West Hartford town, Hartford County",63268
0100000US,,United States,1600000US0982660,0982660,United States - Connecticut - West Hartford CDP,West Hartford CDP,63268
0100000US,,United States,1600000US0982800,0982800,United States - Connecticut - West Haven city,West Haven city,55564
0100000US,,United States,0600000US0900982870,0900982870,"United States - Connecticut - West Haven town, New Haven County","West Haven town, New Haven County",55564
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,897934
0100000US,,United States,1600000US1077580,1077580,United States - Delaware - Wilmington city,Wilmington city,70851
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,601723(r39494)
0100000US,,United States,1600000US1150000,1150000,United States - District of Columbia - Washington city,Washington city,601723(r40183)
0100000US,,United States,0400000US12,12,United States - Florida,Florida,18801310(r40184)
0100000US,,United States,1600000US1200410,1200410,United States - Florida - Alafaya CDP,Alafaya CDP,78113
0100000US,,United States,1600000US1207300,1207300,United States - Florida - Boca Raton city,Boca Raton city,84392
0100000US,,United States,1600000US1207875,1207875,United States - Florida - Boynton Beach city,Boynton Beach city,68217
0100000US,,United States,1600000US1208150,1208150,United States - Florida - Brandon CDP,Brandon CDP,103483
0100000US,,United States,1600000US1210275,1210275,United States - Florida - Cape Coral city,Cape Coral city,154305
0100000US,,United States,1600000US1212875,1212875,United States - Florida - Clearwater city,Clearwater city,107685
0100000US,,United States,1600000US1213275,1213275,United States - Florida - Coconut Creek city,Coconut Creek city,52909
